Postcode,SWIS LGAs
6000,Perth (C)
6003,Perth (C)
6004,Perth (C)
6005,Perth (C)
6006,Vincent (C)
6007,Cambridge (T)
6008,Subiaco (T)
6009,Nedlands (C)
6010,Claremont (T)
6011,Peppermint Grove (S)
6012,Mosman Park (T)
6014,Cambridge (T)
6015,Cambridge (T)
6016,Stirling (C)
6017,Stirling (C)
6018,Stirling (C)
6019,Cambridge (T)
6020,Joondalup (C)
6021,Stirling (C)
6022,Stirling (C)
6023,Joondalup (C)
6024,Joondalup (C)
6025,Joondalup (C)
6026,Joondalup (C)
6027,Joondalup (C)
6028,Joondalup (C)
6029,Stirling (C)
6030,Wanneroo (C)
6031,Wanneroo (C)
6032,Wanneroo (C)
6033,Wanneroo (C)
6034,Wanneroo (C)
6035,Wanneroo (C)
6036,Wanneroo (C)
6037,Wanneroo (C)
6038,Wanneroo (C)
6041,Gingin (S)
6042,Gingin (S)
6043,Gingin (S)
6044,Dandaragan (S)
6050,Bayswater (C)
6051,Bayswater (C)
6052,Bayswater (C)
6053,Bayswater (C)
6054,Bassendean (T)
6055,Mundaring (S)
6056,Mundaring (S)
6057,Kalamunda (S)
6058,Kalamunda (S)
6059,Bayswater (C)
6060,Stirling (C)
6061,Stirling (C)
6062,Bayswater (C)
6063,Swan (C)
6064,Joondalup (C)
6065,Joondalup (C)
6066,Swan (C)
6067,Swan (C)
6068,Swan (C)
6069,Swan (C)
6070,Mundaring (S)
6071,Mundaring (S)
6072,Mundaring (S)
6073,Mundaring (S)
6074,Mundaring (S)
6076,Kalamunda (S)
6077,Wanneroo (C)
6078,Wanneroo (C)
6079,Swan (C)
6081,Mundaring (S)
6082,Mundaring (S)
6083,Mundaring (S)
6084,Chittering (S)
6090,Swan (C)
6100,Belmont (C)
6101,Victoria Park (T)
6102,Canning (C)
6103,Belmont (C)
6104,Belmont (C)
6105,Belmont (C)
6106,Canning (C)
6107,Canning (C)
6108,Gosnells (C)
6109,Gosnells (C)
6110,Gosnells (C)
6111,Armadale (C)
6112,Armadale (C)
6121,Serpentine-Jarrahdale (S)
6122,Serpentine-Jarrahdale (S)
6123,Serpentine-Jarrahdale (S)
6124,Serpentine-Jarrahdale (S)
6125,Serpentine-Jarrahdale (S)
6126,Murray (S)
6147,Canning (C)
6148,Canning (C)
6149,Canning (C)
6150,Melville (C)
6151,South Perth (C)
6152,South Perth (C)
6153,Melville (C)
6154,Melville (C)
6155,Canning (C)
6156,Melville (C)
6157,East Fremantle (T)
6158,East Fremantle (T)
6159,Fremantle (C)
6160,Fremantle (C)
6162,Fremantle (C)
6163,Cockburn (C)
6164,Cockburn (C)
6165,Kwinana (T)
6166,Cockburn (C)
6167,Kwinana (T)
6168,Rockingham (C)
6169,Rockingham (C)
6170,Kwinana (T)
6171,Rockingham (C)
6172,Rockingham (C)
6173,Rockingham (C)
6174,Rockingham (C)
6175,Rockingham (C)
6176,Rockingham (C)
6180,Mandurah (C)
6181,Murray (S)
6182,Murray (S)
6207,Murray (S)
6208,Murray (S)
6209,Mandurah (C)
6210,Mandurah (C)
6211,Mandurah (C)
6213,Boddington (S)
6214,Murray (S)
6215,Waroona (S)
6218,Harvey (S)
6220,Harvey (S)
6221,Harvey (S)
6223,Harvey (S)
6224,Harvey (S)
6225,Collie (S)
6226,Harvey (S)
6227,Dardanup (S)
6228,Dardanup (S)
6229,Bunbury (C)
6230,Bunbury (C)
6232,Dardanup (S)
6233,Bunbury (C)
6236,Dardanup (S)
6237,Capel (S)
6239,Donnybrook-Balingup (S)
6240,Donnybrook-Balingup (S)
6243,Boyup Brook (S)
6244,Boyup Brook (S)
6251,Donnybrook-Balingup (S)
6252,Donnybrook-Balingup (S)
6253,Donnybrook-Balingup (S)
6254,Bridgetown-Greenbushes (S)
6255,Boyup Brook (S)
6256,Bridgetown-Greenbushes (S)
6258,Manjimup (S)
6260,Manjimup (S)
6262,Manjimup (S)
6271,Capel (S)
6275,Nannup (S)
6280,Busselton (S)
6281,Busselton (S)
6282,Busselton (S)
6284,Augusta-Margaret River (S)
6285,Augusta-Margaret River (S)
6286,Augusta-Margaret River (S)
6288,Augusta-Margaret River (S)
6290,Augusta-Margaret River (S)
6302,York (S)
6304,Beverley (S)
6306,Brookton (S)
6308,Wandering (S)
6309,Cuballing (S)
6311,Cuballing (S)
6312,Narrogin (S)
6313,Narrogin (S)
6315,Wagin (S)
6316,Woodanilling (S)
6317,Katanning (S)
6318,Broomehill-Tambellup (S)
6320,Broomehill-Tambellup (S)
6321,Cranbrook (S)
6322,Cranbrook (S)
6323,Plantagenet (S)
6324,Albany (C)
6326,Plantagenet (S)
6327,Albany (C)
6328,Albany (C)
6330,Albany (C)
6333,Denmark (S)
6335,Gnowangerup (S)
6336,Gnowangerup (S)
6337,Jerramungup (S)
6338,Albany (C)
6341,Kent (S)
6343,Kent (S)
6346,Jerramungup (S)
6350,Dumbleyung (S)
6351,Dumbleyung (S)
6352,Dumbleyung (S)
6353,Dumbleyung (S)
6355,Kulin (S)
6356,Lake Grace (S)
6357,Kulin (S)
6358,Kondinin (S)
6359,Kondinin (S)
6361,Wickepin (S)
6363,Kulin (S)
6365,Kulin (S)
6367,Kondinin (S)
6368,Narembeen (S)
6369,Narembeen (S)
6370,Wickepin (S)
6372,Wickepin (S)
6373,Corrigin (S)
6375,Corrigin (S)
6383,Quairading (S)
6384,Quairading (S)
6385,Bruce Rock (S)
6386,Bruce Rock (S)
6390,Boddington (S)
6391,Williams (S)
6392,West Arthur (S)
6393,West Arthur (S)
6394,Kojonup (S)
6395,Boyup Brook (S)
6396,Cranbrook (S)
6397,Plantagenet (S)
6398,Manjimup (S)
6401,Goomalling (S)
6403,Northam (S)
6405,Cunderdin (S)
6407,Cunderdin (S)
6409,Tammin (S)
6410,Kellerberrin (S)
6411,Kellerberrin (S)
6412,Kellerberrin (S)
6413,Merredin (S)
6414,Merredin (S)
6415,Merredin (S)
6418,Bruce Rock (S)
6419,Bruce Rock (S)
6420,Merredin (S)
6421,Merredin (S)
6422,Westonia (S)
6423,Westonia (S)
6424,Westonia (S)
6425,Yilgarn (S)
6426,Yilgarn (S)
6427,Yilgarn (S)
6428,Bruce Rock (S)
6429,Coolgardie (S)
6430,Kalgoorlie/Boulder (C)
6431,Kalgoorlie/Boulder (C)
6432,Kalgoorlie/Boulder (C)
6434,Kalgoorlie/Boulder (C)
6436,Menzies (S)
6442,Coolgardie (S)
6460,Goomalling (S)
6461,Dowerin (S)
6462,Dowerin (S)
6463,Wyalkatchem (S)
6465,Dowerin (S)
6466,Wongan-Ballidu (S)
6467,Wongan-Ballidu (S)
6468,Dalwallinu (S)
6470,Koorda (S)
6472,Mount Marshall (S)
6473,Mount Marshall (S)
6475,Koorda (S)
6476,Mount Marshall (S)
6477,Mount Marshall (S)
6479,Mukinbudin (S)
6480,Merredin (S)
6484,Yilgarn (S)
6485,Wyalkatchem (S)
6487,Trayning (S)
6488,Trayning (S)
6489,Trayning (S)
6490,Nungarin (S)
6501,Chittering (S)
6502,Chittering (S)
6503,Chittering (S)
6504,Chittering (S)
6505,Chittering (S)
6506,Chittering (S)
6507,Dandaragan (S)
6509,Victoria Plains (S)
6510,Moora (S)
6511,Dandaragan (S)
6512,Moora (S)
6513,Coorow (S)
6514,Coorow (S)
6515,Coorow (S)
6516,Dandaragan (S)
6517,Carnamah (S)
6518,Carnamah (S)
6519,Three Springs (S)
6521,Dandaragan (S)
6522,Mingenew (S)
6525,Irwin (S)
6528,Geraldton-Greenough (C)
6530,Geraldton-Greenough (C)
6532,Chapman Valley (S)
6535,Northampton (S)
6536,Northampton (S)
6556,Mundaring (S)
6558,Mundaring (S)
6560,Mundaring (S)
6562,Northam (S)
6564,Northam (S)
6566,Northam (S)
6567,Toodyay (S)
6568,Toodyay (S)
6569,Victoria Plains (S)
6571,Victoria Plains (S)
6572,Victoria Plains (S)
6574,Moora (S)
6575,Moora (S)
6603,Goomalling (S)
6605,Wongan-Ballidu (S)
6606,Wongan-Ballidu (S)
6608,Dalwallinu (S)
6609,Dalwallinu (S)
6612,Dalwallinu (S)
6613,Dalwallinu (S)
6614,Perenjori (S)
6616,Perenjori (S)
6620,Perenjori (S)
6623,Morawa (S)
6625,Morawa (S)
6627,Morawa (S)
6628,Geraldton-Greenough (C)
6630,Geraldton-Greenough (C)
6631,Geraldton-Greenough (C)
6632,Geraldton-Greenough (C)
6635,Yalgoo (S)
6911,Cotteloe (T)
